timestamp,src_ip,protocol,size,danger_score
1769702996.7693152,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703016.8318624,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703036.797356,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703040.6700125,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703041.7073073,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703056.9907904,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703061.3550854,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703062.376129,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703065.350453,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703074.380069,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703076.825779,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703096.8882408,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703101.5396998,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703116.8605187,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703136.9476788,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703156.8962078,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703176.9868073,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703182.607848,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703196.9573681,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703217.0265648,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703236.994027,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703256.844834,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703257.1061666,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703257.8892987,fe80::14d5:3a0d:8815:5003,icmp,66,0.003850285
1769703277.0638413,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703297.0926394,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703311.1226203,fe80::5ad3:12ff:fe6e:9616,icmp,64,0.004095578
1769703317.0585332,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703337.2272296,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703341.4256265,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703342.4683492,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703345.4320064,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703354.514886,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703357.1142797,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703377.2330453,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703381.4713047,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703397.1563547,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703397.7743108,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703398.693134,fe80::71:3940:1732:acd6,icmp,66,0.003850285
1769703417.2097688,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703437.2794845,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703438.82416,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703439.9418383,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703442.800038,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703451.9128714,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703455.485207,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703456.368421,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703457.2480266,fe80::24f1:baff:fe37:a22b,icmp,69,0.003850285
1769703459.2856245,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703468.4000456,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703496.1530917,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703497.1846185,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703497.282934,fe80::24f1:baff:fe37:a22b,icmp,69,0.003850285
1769703500.3663733,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703509.3909206,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703517.2678778,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703536.3107553,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703537.2598712,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703557.2945867,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703577.2589972,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703597.3486192,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703616.576231,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703617.294832,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703617.5064018,fe80::14d5:3a0d:8815:5003,icmp,66,0.003850285
1769703620.5693932,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703629.5833707,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703637.4956534,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703656.6422777,fe80::14d5:3a0d:8815:5003,icmp,66,0.004095578
1769703657.362265,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703660.2009454,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703661.2418344,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703677.4086967,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703697.5022109,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703717.4413552,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703737.410885,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703757.5905535,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703777.4568522,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703797.5722446,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703817.6962276,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703837.574638,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703857.6295116,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703877.7041097,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703879.0661023,fe80::5ad3:12ff:fe6e:9616,icmp,64,0.004095578
1769703897.6783981,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703910.6736722,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703911.6129227,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703917.6396668,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703937.809172,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703958.1085765,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703959.282736,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703962.2001052,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703977.8487668,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769703985.8383672,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703986.6528308,fe80::71:3940:1732:acd6,icmp,66,0.004095578
1769703997.7166908,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704017.7863634,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704037.7565513,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704057.8387642,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704077.7916586,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704097.885903,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704117.1179814,fe80::5ad3:12ff:fe6e:9616,icmp,64,0.004095578
1769704117.8530312,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704137.9525113,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
1769704157.903123,fe80::24f1:baff:fe37:a22b,icmp,69,0.004095578
